TICKER,Date,Open,High,Low,Close,Adj Close,Volume,H-L,C-O,7 DAYS MA,14 DAYS MA,21 DAYS MA,7 DAYS STD DEV,Next Day Close
ISAT.JK,2019-01-15,2140,2160,2050,2130,1846.351685,10217900,110,-10,1937.857143,1807.5,1786.428571,190.6099233,2100
ISAT.JK,2019-01-16,2130,2210,2100,2100,1820.346802,12134200,110,-30,1995.714286,1838.214286,1802.857143,176.1492873,2040
ISAT.JK,2019-01-17,2100,2140,2010,2040,1768.336914,2893700,130,-60,2043.571429,1867.5,1819.285714,145.937038,2120
ISAT.JK,2019-01-18,2060,2120,2050,2120,1837.68335,3444100,70,60,2077.142857,1892.857143,1833.809524,102.4636986,2090
ISAT.JK,2019-01-21,2140,2160,2070,2090,1811.678345,2396500,90,-50,2058.571429,1923.928571,1851.666667,73.63843458,2380
ISAT.JK,2019-01-22,2100,2590,2060,2380,2063.05957,45643300,530,280,2079.285714,1952.857143,1868.809524,54.19321694,2960
ISAT.JK,2019-01-23,2390,2970,2350,2960,2565.822021,59472800,620,570,2137.142857,2005.357143,1899.761905,110.8624201,2880
ISAT.JK,2019-01-24,2970,3190,2850,2880,2496.475586,48583900,340,-90,2260,2098.928571,1958.333333,327.5667871,2700
ISAT.JK,2019-01-25,2900,2900,2700,2700,2340.445801,12039500,200,-200,2367.142857,2181.428571,2014.52381,393.8999148,2750
ISAT.JK,2019-01-28,2710,3020,2630,2750,2383.787354,30278100,390,40,2452.857143,2248.214286,2062.619048,391.3529645,2690
ISAT.JK,2019-01-29,2780,2810,2630,2690,2331.777588,7087700,180,-90,2554.285714,2315.714286,2113.333333,357.0180734,2690
ISAT.JK,2019-01-30,2700,2780,2630,2690,2331.777588,15693100,150,-10,2635.714286,2347.142857,2161.190476,302.2613187,2740
ISAT.JK,2019-01-31,2720,2790,2700,2740,2375.119141,12839900,90,20,2721.428571,2400.357143,2209.047619,183.4328734,2920
ISAT.JK,2019-02-01,2750,2940,2720,2920,2531.148926,48055300,220,170,2772.857143,2455,2261.190476,105.7850471,3100
ISAT.JK,2019-02-04,2950,3160,2880,3100,2687.178467,60997000,280,150,2767.142857,2513.571429,2321.666667,94.46591726,3100
ISAT.JK,2019-02-05,3100,3100,3100,3100,2687.178467,0,0,0,2798.571429,2582.857143,2387.142857,155.2877513,3300
ISAT.JK,2019-02-06,3100,3350,3100,3300,2860.544922,40858800,250,200,2855.714286,2654.285714,2450.714286,183.9254507,3490
ISAT.JK,2019-02-07,3300,3590,3300,3490,3025.24292,39122700,290,190,2934.285714,2744.285714,2521.904762,240.1289336,3460
ISAT.JK,2019-02-08,3530,3560,3390,3460,2999.238037,14783300,170,-70,3048.571429,2842.142857,2580.952381,289.7371551,3520
ISAT.JK,2019-02-11,3450,3680,3420,3520,3051.247803,24296000,260,70,3158.571429,2940,2653.095238,276.7928571,3260
ISAT.JK,2019-02-12,3510,3570,3140,3260,2825.871582,26491500,430,-250,3270,3021.428571,2726.666667,233.8803113,3200
ISAT.JK,2019-02-13,3280,3400,3150,3200,2773.861572,14872000,250,-80,3318.571429,3042.857143,2781.904762,177.6164943,3750
ISAT.JK,2019-02-14,3250,3760,3200,3750,3250.619141,48687600,560,500,3332.857143,3065.714286,2832.857143,160.2824887,3700
ISAT.JK,2019-02-15,3750,3790,3500,3700,3207.277588,25485200,290,-50,3425.714286,3140.714286,2911.428571,188.6670032,3700
ISAT.JK,2019-02-18,3730,3790,3620,3700,3207.277588,13683800,170,-30,3482.857143,3208.571429,2990.47619,204.1824581,3600
ISAT.JK,2019-02-19,3700,3700,3510,3600,3120.594482,17902200,190,-100,3512.857143,3280.714286,3065.714286,220.2055317,3600
ISAT.JK,2019-02-20,3610,3740,3550,3600,3120.594482,10185400,190,-10,3532.857143,3345.714286,3137.619048,220.9611041,3610
ISAT.JK,2019-02-21,3620,3720,3550,3610,3129.262939,7663200,170,-10,3544.285714,3407.142857,3195.714286,222.250395,3430
ISAT.JK,2019-02-22,3620,3650,3370,3430,2973.233154,9948500,280,-190,3594.285714,3456.428571,3226.666667,183.6534003,3400
ISAT.JK,2019-02-25,3450,3510,3320,3400,2947.228027,9841800,190,-50,3627.142857,3480,3252.857143,105.1529498,3150
ISAT.JK,2019-02-26,3410,3450,3100,3150,2730.52002,10931100,350,-260,3577.142857,3501.428571,3286.190476,119.2636136,3250
ISAT.JK,2019-02-27,3170,3330,3090,3250,2817.203369,7979600,240,80,3498.571429,3490.714286,3305.238095,186.8536478,3300
