Date,Open,High,Low,Close,Adj Close,Volume
2019-01-30,2070.000000,2120.000000,2060.000000,2110.000000,2026.325195,16156100
2019-01-31,2140.000000,2170.000000,2120.000000,2170.000000,2083.945801,11999900
2019-02-01,2170.000000,2190.000000,2100.000000,2100.000000,2016.721680,10715500
2019-02-04,2110.000000,2140.000000,2090.000000,2120.000000,2035.928833,16082100
2019-02-05,2120.000000,2120.000000,2120.000000,2120.000000,2035.928833,0
2019-02-06,2130.000000,2220.000000,2130.000000,2200.000000,2112.756104,40880800
2019-02-07,2210.000000,2230.000000,2150.000000,2170.000000,2083.945801,28062500
2019-02-08,2160.000000,2210.000000,2140.000000,2180.000000,2093.549316,21432400
2019-02-11,2170.000000,2200.000000,2110.000000,2130.000000,2045.532104,23067700
2019-02-12,2130.000000,2140.000000,2040.000000,2070.000000,1987.911377,21694700
2019-02-13,2090.000000,2110.000000,1995.000000,2020.000000,1939.894287,15619400
2019-02-14,2050.000000,2110.000000,1995.000000,2050.000000,1968.704468,43970600
2019-02-15,2050.000000,2440.000000,2050.000000,2340.000000,2247.204102,211910100
2019-02-18,2360.000000,2580.000000,2360.000000,2530.000000,2429.669922,95862900
2019-02-19,2560.000000,2660.000000,2510.000000,2610.000000,2506.496826,59416800
2019-02-20,2670.000000,2670.000000,2550.000000,2620.000000,2516.100586,30943600
2019-02-21,2600.000000,2680.000000,2570.000000,2650.000000,2544.910645,16555400
2019-02-22,2650.000000,2650.000000,2570.000000,2640.000000,2535.307373,14537900
2019-02-25,2620.000000,2620.000000,2580.000000,2590.000000,2487.290283,11932100
2019-02-26,2560.000000,2570.000000,2410.000000,2500.000000,2400.859375,31258600
2019-02-27,2500.000000,2530.000000,2360.000000,2400.000000,2304.824951,22082600
2019-02-28,2400.000000,2440.000000,2330.000000,2400.000000,2304.824951,28718100
2019-03-01,2410.000000,2530.000000,2390.000000,2490.000000,2391.256104,23691300
2019-03-04,2510.000000,2530.000000,2420.000000,2450.000000,2352.842285,9909200
2019-03-05,2450.000000,2450.000000,2380.000000,2400.000000,2304.824951,14575000
2019-03-06,2400.000000,2430.000000,2400.000000,2420.000000,2324.031738,3207900
2019-03-07,2420.000000,2420.000000,2420.000000,2420.000000,2324.031738,0
2019-03-08,2410.000000,2430.000000,2310.000000,2350.000000,2256.807861,20327500
2019-03-11,2390.000000,2450.000000,2360.000000,2400.000000,2304.824951,11314900
2019-03-12,2420.000000,2480.000000,2390.000000,2460.000000,2362.445557,11946700
2019-03-13,2520.000000,2670.000000,2480.000000,2620.000000,2516.100586,35771200
2019-03-14,2550.000000,2580.000000,2500.000000,2560.000000,2458.479980,8467900
2019-03-15,2520.000000,2630.000000,2520.000000,2590.000000,2487.290283,12313300
2019-03-18,2580.000000,2720.000000,2570.000000,2700.000000,2592.927979,21103300
2019-03-19,2700.000000,2730.000000,2610.000000,2650.000000,2544.910645,10211800
2019-03-20,2650.000000,2720.000000,2610.000000,2700.000000,2592.927979,13744500
2019-03-21,2730.000000,2760.000000,2670.000000,2680.000000,2573.721191,10669000
2019-03-22,2700.000000,2720.000000,2650.000000,2660.000000,2554.514404,2572000
2019-03-25,2660.000000,2670.000000,2550.000000,2590.000000,2487.290283,8303100
2019-03-26,2580.000000,2700.000000,2580.000000,2680.000000,2573.721191,8179200
2019-03-27,2690.000000,2710.000000,2610.000000,2680.000000,2573.721191,5639200
2019-03-28,2700.000000,2700.000000,2610.000000,2680.000000,2573.721191,6086000
2019-03-29,2680.000000,2700.000000,2620.000000,2680.000000,2573.721191,2525300
